time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
7.030000,2.232973,2.301908,-2.243450,-2.291296,-0.166539,-0.166539,-0.166539,-0.166539
7.080000,2.144633,2.230429,-2.171834,-2.202862,-0.165025,-0.165025,-0.165025,-0.165025
7.130000,2.059856,2.161141,-2.102409,-2.117994,-0.163518,-0.163518,-0.163518,-0.163519
7.180000,1.978907,2.094389,-2.035530,-2.036947,-0.162030,-0.162030,-0.162030,-0.162030
7.230000,1.901986,2.030466,-1.971498,-1.959913,-0.160570,-0.160570,-0.160570,-0.160570
7.280000,1.829240,1.969613,-1.910560,-1.887032,-0.159147,-0.159147,-0.159147,-0.159147
7.330000,1.761235,1.912426,-1.853316,-1.818869,-0.157779,-0.157779,-0.157779,-0.157779
7.380000,1.696960,1.858163,-1.799025,-1.754411,-0.156449,-0.156449,-0.156449,-0.156449
7.430000,1.637035,1.807449,-1.748312,-1.694275,-0.155177,-0.155177,-0.155177,-0.155177
7.480000,1.581427,1.760354,-1.701249,-1.638430,-0.153965,-0.153965,-0.153965,-0.153965
7.530000,1.530075,1.716918,-1.657874,-1.586818,-0.152817,-0.152817,-0.152817,-0.152817
7.580000,1.482897,1.677154,-1.618196,-1.539359,-0.151735,-0.151735,-0.151735,-0.151735
7.630000,1.439792,1.641052,-1.582203,-1.495954,-0.150719,-0.150719,-0.150719,-0.150719
7.680000,1.400642,1.608580,-1.549860,-1.456490,-0.149771,-0.149771,-0.149771,-0.149771
7.730000,1.365508,1.579827,-1.521115,-1.421034,-0.148895,-0.148895,-0.148895,-0.148895
7.780000,1.333832,1.554423,-1.495902,-1.389022,-0.148079,-0.148079,-0.148079,-0.148079
7.830000,1.305712,1.532468,-1.474141,-1.360561,-0.147329,-0.147329,-0.147329,-0.147329
7.880000,1.280998,1.513874,-1.455744,-1.335503,-0.146642,-0.146642,-0.146642,-0.146642
7.930000,1.259538,1.498546,-1.440615,-1.313697,-0.146018,-0.146018,-0.146018,-0.146018
7.980000,1.241243,1.486387,-1.428652,-1.294994,-0.145453,-0.145453,-0.145456,-0.145456
8.030000,1.225823,1.477279,-1.419747,-1.279243,-0.144945,-0.144945,-0.144947,-0.144947
8.080000,1.213206,1.471116,-1.413787,-1.266292,-0.144491,-0.144491,-0.144493,-0.144493
8.130000,1.203241,1.467782,-1.410658,-1.255993,-0.144090,-0.144090,-0.144091,-0.144091
8.180000,1.195778,1.467158,-1.410240,-1.248196,-0.143737,-0.143737,-0.143738,-0.143738
8.230000,1.190670,1.469119,-1.412412,-1.242726,-0.143432,-0.143432,-0.143433,-0.143433
8.280000,1.187770,1.473541,-1.417048,-1.239495,-0.143169,-0.143169,-0.143169,-0.143169
8.330000,1.186933,1.480292,-1.424020,-1.238321,-0.142946,-0.142946,-0.142946,-0.142946
8.380000,1.188014,1.489239,-1.433197,-1.239060,-0.142760,-0.142760,-0.142760,-0.142760
8.430000,1.190791,1.500093,-1.444289,-1.241489,-0.142608,-0.142608,-0.142609,-0.142609
8.480000,1.195291,1.513053,-1.457504,-1.245629,-0.142488,-0.142488,-0.142489,-0.142489
8.530000,1.201273,1.527780,-1.472501,-1.251239,-0.142397,-0.142397,-0.142397,-0.142397
8.580000,1.208590,1.544128,-1.489136,-1.258171,-0.142331,-0.142331,-0.142331,-0.142331
8.630000,1.217097,1.561944,-1.507260,-1.266278,-0.142289,-0.142289,-0.142289,-0.142289
8.680000,1.226648,1.581072,-1.526719,-1.275410,-0.142266,-0.142266,-0.142266,-0.142266
8.730000,1.237094,1.601354,-1.547356,-1.285420,-0.142261,-0.142261,-0.142261,-0.142261
8.780000,1.248287,1.622624,-1.569008,-1.296156,-0.142270,-0.142270,-0.142271,-0.142271
8.830000,1.260078,1.644716,-1.591509,-1.307467,-0.142292,-0.142292,-0.142292,-0.142292
8.880000,1.272317,1.667460,-1.614692,-1.319203,-0.142324,-0.142324,-0.142324,-0.142324
8.930000,1.284853,1.690682,-1.638383,-1.331213,-0.142362,-0.142362,-0.142362,-0.142362
8.980000,1.297538,1.714210,-1.662411,-1.343345,-0.142405,-0.142405,-0.142405,-0.142405
9.030000,1.310222,1.737868,-1.686600,-1.355453,-0.142450,-0.142450,-0.142450,-0.142450
9.080000,1.322760,1.761482,-1.710777,-1.367390,-0.142495,-0.142495,-0.142495,-0.142495
9.130000,1.335008,1.784879,-1.734767,-1.379012,-0.142537,-0.142537,-0.142537,-0.142537
